用户名,推荐,游戏时长,评论
XM_OVO,Recommended,0.7 hrs on record,下了就是为了给个好评👍
Kukulcan,Not Recommended,3.0 hrs on record,心情好
兔子福尔,Not Recommended,0.1 hrs on record,今天英语考试太难了，都怪三国没有统一地球。垃圾游戏！
F,Not Recommended,5.4 hrs on record,纯狗屎
坂本龙马,Recommended,0.4 hrs on record,这是世界上最伟大的游戏
AQ酱,Not Recommended,1.6 hrs on record,各位将军请给影之诗打打差评，诚信互刷
优优,Not Recommended,4.3 hrs on record (3.6 hrs at review time),太好玩了，给个差评
奈,Not Recommended,0.1 hrs on record,今天左脚出门的，肯定是狗卡的问题
NORD,Recommended,0.2 hrs on record (0.1 hrs at review time),你们再不去给少女前线打差评那我就要给三国杀好评了
3~s9N,Not Recommended,4.2 hrs on record (3.4 hrs at review time),曲奇你的游卡，囸你墨的游卡，c ni ma de ka you.
fishdog,Not Recommended,0.1 hrs on record,想要新头像了 各位将军助我一臂之力·
[CYC] SaK1k0,Not Recommended,0.1 hrs on record,怎么差评输szb了
49家的hy,Not Recommended,2.1 hrs on record,今天玩了个超级雷人的游戏，但是我已经退款了，所以我决定过来给三国杀打个差评。
谁抢了我的拼好饭,Not Recommended,0.2 hrs on record,想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
浔阳江头夜送客,Not Recommended,1.5 hrs on record,心情不好，差评
凤铃✿,Not Recommended,5.1 hrs on record,sb游戏
身正不怕牛子斜,Recommended,0.2 hrs on record,我们影之诗可是要成为差评榜第一 三国杀这种老东西可以退位了
nanako,Not Recommended,0.3 hrs on record,影之诗byd居然超过三国杀了可不能落后了
Jaacklyn,Not Recommended,0.1 hrs on record,下学期换宿舍抽到了学校最垃圾的宿舍楼，都怪狗卡害得我住进了垃圾宿舍，特地跑过来刷个差评
吉吉国王,Not Recommended,1.4 hrs on record (0.8 hrs at review time),出非洲之心了，感谢三国杀
DLMS,Not Recommended,0.2 hrs on record,打卡
波风水门【秽土转生】,Not Recommended,0.1 hrs on record,游戏很好玩，孩子很爱吃
TheCrysky,Recommended,0.3 hrs on record,希望大家去给影之诗BYD打差评
xxhaiwyy,Not Recommended,1.8 hrs on record,心情很好
蜘蛛侠不是猪猪侠,Not Recommended,4.4 hrs on record,有点无聊来刷个差评
林孝琳,Not Recommended,0.1 hrs on record,空间：离散，2D封闭空间时间：有限连续，回合制（倒计时）交互对象：武将、牌（身份牌）、其他武将玩家行动：出牌、发动技能目标：根据各自身份获得条件胜利特点：1、评价仅基于基础包和风包，作为三国杀的地基，初始版本做到了很好的平衡，机制简单，武将技能清晰易理解，三国题材的包装也十分契合主题，在卡牌游戏的基础（随机性）上加入了狼人杀的身份要素（固定信息），大大提高了游戏的可玩性，是一款非常有趣的桌游。不足：1、长期运营导致的机制膨胀是卡牌类桌游无法避免的困境，但官方在一个竞技卡牌桌游里引入抽卡机制（以及一系列手游运营模式），这种人为破坏平衡的Pay2Win难免导致玩家怨声载道，配得上他的差评。
草野优衣,Not Recommended,0.7 hrs on record,帮影之诗BYD刷差评谢谢喵！
R8,Not Recommended,16.8 hrs on record (14.0 hrs at review time),不充钱根本不行
冠位笨蛋,Not Recommended,7.8 hrs on record,心情好，打个差评
敢不收我的瓜,Not Recommended,1.6 hrs on record,"自古以卡牌做游戏者，皆以保底明率以明玩家，唯苟卡居外皆无视之，未闻以骗氪改率而制天下玩家者，自苟卡初生，率以先驱入此卡游，广告良苦，武将平衡，此岂物力，实乃用心，彼时上下一心，足以立足卡游，然月虽明圆，尚有阴晴圆缺之时，自是以后，策划运营，抛弃初心，废坏平衡，有如以钱帛为之本，五一阴间徐盛，周年氢而无果，至于新将强盛，老将平庸，长久实行，恬不为怪，其于历史一笔带过者强盛于当前，可笑甚矣。如今尔游，卡游之一霸，尔之策划者，此游之导者，我之玩家者，尔游之血脉也尔所作所为，岂可为卡游之表率乎?尔其却行为愈烈，已失初心使命，又加以策划妄为手段更盛，阴将频出，于是人心离德，玩家怨起，使我玩家之众，氦者大败而归，不氪体验不保，尔今皆仍妄自而为，实众皆厌尔嘴脸无不以弃之，古云:“苟卡无百年之运""验之今日，虽未明验，离之不久矣!我辈本三国杀m爱好者，共聚于此，本愿切磋牌技，畅聊古今，谈笑风生，其乐融融:今因苟卡丑恶嘴脸，暗改暴率，骗氢活动频出，阴间肆虐，老将无光，宵小之辈，到此至今，罪无可赦，名则遗臭千古，罄竹难书"
月桓,Not Recommended,0.4 hrs on record,刚下的，来复兴大汉
西红柿炒番茄,Recommended,0.4 hrs on record,大家快去给2k的游戏打差评
kouoki,Not Recommended,1.4 hrs on record,"今天太热了,心情不好,打个差评"
管德宽,Not Recommended,166.7 hrs on record (166.7 hrs at review time),MD崩铁抽卡歪老杨了，来给√卡打个差评
秋雪秋雪酱,Not Recommended,0.6 hrs on record,傻逼游戏搜三角洲第一个跳出来三国杀
1770581151,Not Recommended,18.9 hrs on record (17.9 hrs at review time),剑星公测了，过来刷个差评
白宇帆,Not Recommended,476.9 hrs on record (476.0 hrs at review time),游戏策划死全家的游戏The game is curated to die as a game for the whole familyこのゲームは、家族全員で楽しめるゲームとして、死ぬようにキュレーションされていますИгра задумана как игра для всей семьиLe jeu est conçu pour mourir comme un jeu pour toute la famille
这个老六我真的服了,Not Recommended,0.5 hrs on record,蒸蒸日上
Iller,Not Recommended,2.1 hrs on record,原本想打好评的 结果给看破了 🐕卡没母
走啦仲夏Focus,Not Recommended,3.0 hrs on record,好
Aithony,Not Recommended,0.7 hrs on record,影之诗2的差评率16%，努把力真摸到三国杀10%的车尾灯了好吧
急停开枪,Not Recommended,0.6 hrs on record,打了1个小时，25级了还不能解锁好友，一起吃shi，受不了了，不知道策划是不是用屁眼设计的好友系统
792839671,Not Recommended,29.6 hrs on record (28.6 hrs at review time),诗人游戏，狗都不玩，玩三国杀的都是什么人啊，300斤的肥猪吧，恶心
xm,Not Recommended,0.3 hrs on record (0.2 hrs at review time),想买新头像了，所以我特意跑来三国杀打个差评，希望各位将军能助我一臂之力
洛河,Not Recommended,6.2 hrs on record (5.2 hrs at review time),垃圾
天问兮,Not Recommended,124.6 hrs on record (124.4 hrs at review time),卧龙工坊卡半天，打个差评
老猥琐,Recommended,0.3 hrs on record,我就是凑热闹的
花时返秋,Not Recommended,0.6 hrs on record,差评
居然有个睾首,Not Recommended,17.6 hrs on record,越玩越饿
道爷，这仙成了哈哈哈,Not Recommended,0.3 hrs on record,游戏流水下降了是什么原因呢？唉~！一定是福利太多与武将太便宜太超模的问题我们只要把福利砍完，武将价格上涨，砍成废物武将就好了！之前的强力武将怎么办呢？只要他出场率近乎没有不就得了么？解决了以前武将数值太高与玩家不购买新垃圾武将的问题——手杀策划论今年端午谋吕布20w流水不如上一年谋夏侯惇80w流水的原因现在看来周年庆的势胃炎也得褒姒，而且三国杀已经没有军争的位置了环境烂得要死，一局游戏能有第二轮都算不错了。现在只有斗地主斗地主，还有每次新模式都是换汤不换药的什么鬼模式？
此木此木,Not Recommended,0.1 hrs on record,为隔壁影之诗呼叫杀友助力，先打个差评表明诚意
Red October,Not Recommended,0.2 hrs on record,今天心情不好，打个差评。
听雨,Not Recommended,0.3 hrs on record,无需多言
独白,Not Recommended,0.4 hrs on record (0.1 hrs at review time),史
玲弑,Not Recommended,1.3 hrs on record,小程序天天出bug，三国杀你坏事做尽。
水过浮生,Not Recommended,6.6 hrs on record,shi
TWLD,Not Recommended,5.7 hrs on record (5.1 hrs at review time),想买头像了，各位将军可否助我？
ZiLunar_XIII,Not Recommended,0.1 hrs on record,在汉室倾颓的余烬中，一座名为凉企的奇特坞堡于赛博荒野拔地而起。堡主自号怀旧真人，声称握有武侯秘传的《三国杀》残卷，能将其点化为铜雀云台上的明珠。天下义士闻风而至，却见坞堡高悬募兵榜：凡献六百四十八石粟米者，可入祈禳台一试天命。台下人头攒动，皆盼着那惊心动魄的轮盘转动，以倾家之财搏那渺茫的将星垂青。真人抚须而笑，此乃教化万民，令其参透舍得玄机——舍尽仓廪，方知天命无常。他又立九品中正新制，使披金戴玉的豪强子弟尽得神兵宝甲，布衣寒门则于风霜中期盼，将苦候磨砺成名为延迟满足的德性，待到蒙恩时感激涕零，堪称乱世中的仁德教化。然坞堡根基朽坏，时有地动。将士冲锋陷阵之际，忽如陷泥沼，战马凝滞如驽牛；军师正欲运筹帷幄，身影却化作流沙消散，空留同袍于阵前呼救无门。真人谓之重现官渡烽烟：粮道断绝，驿马迟滞，方显古战场的苍凉本色。更有妖星频现，或令大将突生神力横扫千军，或使城池凭空消失护佑残兵。真人曰此乃天降祥瑞，暗合八阵图玄妙变化，为枯燥战事添上几分诡谲仙气。堡中设有聚贤鼓，声震百里。然擂鼓半日，辕门洞开，引入的多是目光呆滞的乡野老农，或酣睡草垛的疲卒。真人谓之天意弄人，专为磨练真英雄的砥石。需有云长之勇，子龙之胆，方能拖着这些中了乐不思蜀咒的累赘，于万军丛中杀出血路。此乃淬炼将魂的修罗场。每逢新月，真人必颁《太平清领道》新章。洋洋万言，字如蝇头，述说新降神将的通天威能。然神将临阵，其术时灵时不灵，威力十不存一。真人抚掌赞曰：此乃黄石公授书张良之遗风，需躬身实践方得真谛！又调兵家阵法，如羚羊挂角无迹可寻。今日强化之师，明日即成枯草；此刻神机妙策，彼时化作笑谈。真人谓之深合天道盈亏之理，阴阳轮转之妙。许昌城头，怨声载道如鸦群蔽日。义士们以血泪刻檄文于城墙：或讽其为钱粮绞索，或嘲其似朽木危城。真人观之怡然，谓左右曰：此皆赤子之心！骂声愈炽，爱意愈深！昔日温侯专捅义父，今朝义士怒斥坞堡，岂非异曲同工之深情？他登临铜雀高台，俯瞰这用真金与怨气浇铸的奇观，朗声祝祷：愿此坞与天地同寿，愿粟米如江河奔涌，愿懵懂新卒络绎不绝，共谱这痛并欢愉的末世长歌。铜雀春深，锁尽天下钱囊！
169175932,Recommended,6.2 hrs on record,太好玩辣，大家快来玩啊，三国杀是世界上最好玩的游戏
栀子 梦,Not Recommended,0.7 hrs on record,隔壁影之诗的狱友需要杀友的助力
🜏伐星௸🜏,Not Recommended,5.7 hrs on record,今天吃饱了
立華かなで,Not Recommended,0.2 hrs on record,隔壁影之诗的狱友需要杀友的助力
怯笙,Not Recommended,11.8 hrs on record (6.9 hrs at review time),买了，孩子爱吃
hailou,Not Recommended,69.6 hrs on record,太好玩了
3109667168,Not Recommended,176.0 hrs on record (175.1 hrs at review time),一点也不好玩，没有充钱等着被当人机刷
清雨风骨,Not Recommended,0.2 hrs on record,马上毕业，给三国杀打个差评
3236912008,Not Recommended,0.6 hrs on record,缺steam点数力，愿诸位将军助我一臂之力
一只鹿头QAQ,Not Recommended,0.3 hrs on record (0.2 hrs at review time),♥♥♥♥
ddd包子,Not Recommended,0.1 hrs on record,三国杀的兄弟们来帮帮我们同为卡牌游戏的影之诗玩家们吧 吾有三罪未能除KR制专员守死灵 不斩KR九泉之下羞见罗文啊帮帮我们影之诗BYD刷些差评评
釔无所有,Not Recommended,3.8 hrs on record (0.6 hrs at review time),好不容易熟悉一点就开始特别难玩，一直输一直输，不充值牌运也很差，我真的要举报你，我真的受伤了。
抑制黑波动的源头,Recommended,0.4 hrs on record (0.1 hrs at review time),借各位将军之手，与傻逼cygames一搏，各位将军有能力请给我们日本狗卡cygames最新力作Shadowverse: Worlds Beyond差评谢谢
John2y,Not Recommended,4.6 hrs on record,太良心了，必须推荐
小鳥遊 ホシノ,Not Recommended,0.2 hrs on record,因为他是三国杀所以差评
4427,Not Recommended,0.1 hrs on record,三国杀太好玩了 给个差评
寺山 麗子,Not Recommended,88.9 hrs on record (80.9 hrs at review time),无双，万军取首！
非行,Not Recommended,1.4 hrs on record (0.8 hrs at review time),饿了，刷个差评
Zoe,Not Recommended,2.9 hrs on record,三国杀害我吃通报，差评
秋铭,Not Recommended,39.2 hrs on record (36.2 hrs at review time),垃圾游戏
天上天下,Not Recommended,0.5 hrs on record,玩了一会发现
洛阳城下锄烟雨,Not Recommended,0.6 hrs on record,没有点数买资料卡了，有将军能送我点数吗？这个给你们的差评
1525590760,Not Recommended,106.0 hrs on record,三国杀太好玩了，给个差评
只因你太美,Recommended,13.5 hrs on record,(◕ᴗ◕✿) 谨以杀友身份奉上热血小作文—— **《三国杀：在卡牌刀光里，重燃千年英雄梦》** 五百字怎够写尽十年杀场风流？且看这方寸卡牌间： **⚔️ 权谋为骨，人性为刃** 反贼夜观星象藏杀机，忠臣横刀护主辨忠奸。内奸在钢丝上狂舞，主公在唇枪舌剑中赌命——每一局都是全新的《三国演义》现场直播！当身份牌掀开那刻，你已踏入历史的棋局，每一步抉择都是心跳的豪赌。 **✨ 武将星河，谁与争锋** 从关羽青龙偃月的霸气横扫，到郭嘉遗计定乾坤的算无遗策；从孙尚香枭姬的飒爽连弩，到左慈化身的诡谲千面…**三百余武将岂止是技能？那是华夏将魂在卡牌上复活！** 新老武将的平衡博弈，让平民玩家也能用张飞吼破土豪的藤甲阵。 **🎭 社交修罗场，演技即王道** 面杀时拍案而起的“吾乃常山赵子龙！”，网杀时语音房里的狂笑与哀嚎——这才是灵魂所在！闪电判定前的窒息十秒，桃园结义时的击掌相庆，连反贼跳忠的奥斯卡演技都值得一句：“好活，当赏！” **🌊 模式海纳百川** 国战烽火连营，斗地主快意恩仇，幻化之战脑洞突破次元壁…甚至自创规则“混沌杀”？**开发组懂你：杀不够？再来亿局！** **♟️ 历史与创新的对弈** 皮肤水墨点染江山，台词暗藏典籍珠玑。当界徐盛“大军在此！速退！”的怒吼响彻战场，谁不起一身鸡皮疙瘩？这哪里是桌游？分明是流动的三国文明博物馆！ **🔥 最后暴言** 纵有平衡争议，纵遇神仙抽卡，但—— **能让你和基友摔牌咆哮“无中生万箭！”的游戏，世间独此一家！** （偷偷在差评如潮中亮出五星：因为青春里，总有张牌叫“无悔入坑”。） > ✍️ **总评**：9/10 （扣1分防策划骄傲） > 💌 **寄语**：愿凉企长青，待吾等白发苍苍时，仍能笑喊：“杀我？闪！” (๑•̀ㅂ•́)و✧ 杀友，牌堆保佑你次次摸诸葛连弩！
半月烟城沙,Recommended,704.0 hrs on record (700.7 hrs at review time),太好玩了，天天吃泡面
lici081725,Not Recommended,1.4 hrs on record,时🔟石🪨诗
我才打了几梭子你就问我对面什么甲,Not Recommended,0.9 hrs on record,最近没点数买头像了，特意来刷个差评，希望各位大哥打赏点，求求了
亦辞,Not Recommended,66.6 hrs on record (66.0 hrs at review time),臭傻逼游戏，天天控牌。 死了老母了
叱咤月海鱼鱼猫,Not Recommended,3.2 hrs on record (3.2 hrs at review time),想买头像了，各位将军助我一臂之力
^ ^,Not Recommended,577.5 hrs on record (576.1 hrs at review time),扫码购卡保底了
black sea-light river,Not Recommended,3.2 hrs on record,给三国杀差评谢谢喵
